SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.05831763147585023;77.42092740338364
117122;GreyMatter;0.3642425473287848;7.280109889280518
117122;Hippocampus;0.11432707885695902;39.824615503479755
117122;Thalamus;0.19057965622442147;44.24929377967517
117122;WhiteMatter;0.6393181463218724;8.0
117122-PP;Amygdala;0.0;inf
117122-PP;GreyMatter;0.0;inf
117122-PP;Hippocampus;0.0;inf
117122-PP;Thalamus;0.0;inf
117122-PP;WhiteMatter;0.33617233772496835;10.04987562112089
118528;Amygdala;0.04110911440155644;75.9012516365837
118528;GreyMatter;0.3235732256209252;7.54983443527075
118528;Hippocampus;0.09328089611461278;33.85262175962151
118528;Thalamus;0.17690683168803104;45.639894828976104
118528;WhiteMatter;0.6797866173567849;8.0
118528-PP;Amygdala;0.0;inf
118528-PP;GreyMatter;0.0;inf
118528-PP;Hippocampus;0.0;inf
118528-PP;Thalamus;0.0;inf
118528-PP;WhiteMatter;0.3059768086279221;16.583123951777
118730;Amygdala;0.046845187183367325;76.55716818169282
118730;GreyMatter;0.3350762472753946;7.0710678118654755
118730;Hippocampus;0.08880641775378617;36.180105030251084
118730;Thalamus;0.2156045915118881;45.45327270945405
118730;WhiteMatter;0.6795498994420837;8.0
118730-PP;Amygdala;0.0;inf
118730-PP;GreyMatter;0.0;inf
118730-PP;Hippocampus;0.0;inf
118730-PP;Thalamus;0.0;inf
118730-PP;WhiteMatter;0.2853850869314629;14.798648586948742
118932;Amygdala;0.0595816606803296;77.87810988975015
118932;GreyMatter;0.39159915303249737;8.0
118932;Hippocampus;0.10482494300598025;34.539832078341085
118932;Thalamus;0.19466923714945414;45.58508528016593
118932;WhiteMatter;0.6325073358186356;8.0
118932-PP;Amygdala;0.0;inf
118932-PP;GreyMatter;0.0;inf
118932-PP;Hippocampus;0.0;inf
118932-PP;Thalamus;0.0;inf
118932-PP;WhiteMatter;0.32650609539590486;13.92838827718412
120111;Amygdala;0.04793482688391039;75.70336848516055
120111;GreyMatter;0.3208962066697231;7.810249675906654
120111;Hippocampus;0.10742368893566961;33.61547262794322
120111;Thalamus;0.1958035133376708;46.24932431938871
120111;WhiteMatter;0.6955942400474523;7.0710678118654755
120111-PP;Amygdala;0.0;inf
120111-PP;GreyMatter;0.0;inf
120111-PP;Hippocampus;0.0;inf
120111-PP;Thalamus;0.0;inf
120111-PP;WhiteMatter;0.35723083992321886;15.297058540778355
122317;Amygdala;0.05911109581023858;77.6273147803014
122317;GreyMatter;0.37080778696352623;8.0
122317;Hippocampus;0.09772344882051986;32.449961479175904
122317;Thalamus;0.17266527887445265;46.84015371452148
122317;WhiteMatter;0.639147766668552;8.12403840463596
122317-PP;Amygdala;0.0;inf
122317-PP;GreyMatter;0.0;inf
122317-PP;Hippocampus;0.0;inf
122317-PP;Thalamus;0.0;inf
122317-PP;WhiteMatter;0.33954233311389465;15.0
122620;Amygdala;0.05454360730924977;77.02596964660685
122620;GreyMatter;0.3573648499986193;9.16515138991168
122620;Hippocampus;0.08976214003387917;34.36568055487916
122620;Thalamus;0.1921897747709172;44.15880433163923
122620;WhiteMatter;0.6632597160494963;8.0
122620-PP;Amygdala;0.0;inf
122620-PP;GreyMatter;0.0;inf
122620-PP;Hippocampus;0.0;inf
122620-PP;Thalamus;0.0;inf
122620-PP;WhiteMatter;0.29242713255963104;13.892443989449804
123117;Amygdala;0.054642888517965386;79.46697427233529
123117;GreyMatter;0.36374579797029155;9.0
123117;Hippocampus;0.10747056605354674;33.28663395418648
123117;Thalamus;0.1985040865706697;44.50842616853577
123117;WhiteMatter;0.6912736299408058;7.0
123117-PP;Amygdala;0.0;inf
123117-PP;GreyMatter;0.0;inf
123117-PP;Hippocampus;0.0;inf
123117-PP;Thalamus;0.0;inf
123117-PP;WhiteMatter;0.3566875403667406;12.727922061357855
123925;Amygdala;0.06174049754924628;79.15175298121956
123925;GreyMatter;0.34120026677454274;8.246211251235321
123925;Hippocampus;0.11650720068546572;31.76476034853718
123925;Thalamus;0.2040435685403082;43.657759905886145
123925;WhiteMatter;0.632497774301285;8.0
123925-PP;Amygdala;0.0;inf
123925-PP;GreyMatter;0.0;inf
123925-PP;Hippocampus;0.0;inf
123925-PP;Thalamus;0.0;inf
123925-PP;WhiteMatter;0.34557350345584714;14.071247279470288
124422;Amygdala;0.06914885347842985;76.96752561957543
124422;GreyMatter;0.3295187414430007;8.12403840463596
124422;Hippocampus;0.10661401776900296;35.12833614050059
124422;Thalamus;0.2194125893611278;43.18564576337837
124422;WhiteMatter;0.6562842315786722;8.0
124422-PP;Amygdala;0.0;inf
124422-PP;GreyMatter;0.0;inf
124422-PP;Hippocampus;0.0;inf
124422-PP;Thalamus;0.0;inf
124422-PP;WhiteMatter;0.30289970809405314;11.661903789690601
