SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.06418690142207603;77.54998388136518
117122;GreyMatter;0.3663417239545221;7.3484692283495345
117122;Hippocampus;0.11629972205242944;33.94112549695428
117122;Thalamus;0.1811494573751614;44.598206241955516
117122;WhiteMatter;0.6254898842266328;8.06225774829855
117122-PP;Amygdala;0.0;inf
117122-PP;GreyMatter;0.0;inf
117122-PP;Hippocampus;0.0;inf
117122-PP;Thalamus;0.0;inf
117122-PP;WhiteMatter;0.3359436735003545;10.198039027185569
118528;Amygdala;0.04447882421195127;76.08547824650904
118528;GreyMatter;0.32315504905896314;7.681145747868608
118528;Hippocampus;0.08978886658705759;34.19064199455752
118528;Thalamus;0.1720686258790114;46.04345773288535
118528;WhiteMatter;0.6715874029152037;8.94427190999916
118528-PP;Amygdala;0.0;inf
118528-PP;GreyMatter;0.0;inf
118528-PP;Hippocampus;0.0;inf
118528-PP;Thalamus;0.0;inf
118528-PP;WhiteMatter;0.30533466925760994;16.73320053068151
118730;Amygdala;0.05424979502596338;76.64202502543888
118730;GreyMatter;0.33588819131737574;7.3484692283495345
118730;Hippocampus;0.08609223520884299;36.180105030251084
118730;Thalamus;0.20698991102975609;45.9782557302906
118730;WhiteMatter;0.669367278702618;9.0
118730-PP;Amygdala;0.0;inf
118730-PP;GreyMatter;0.0;inf
118730-PP;Hippocampus;0.0;inf
118730-PP;Thalamus;0.0;inf
118730-PP;WhiteMatter;0.2845269162105379;14.7648230602334
118932;Amygdala;0.06800301019361019;77.93587107359485
118932;GreyMatter;0.39226845792593734;7.874007874011811
118932;Hippocampus;0.10332646766912479;34.539832078341085
118932;Thalamus;0.18731438713689758;46.05431575867782
118932;WhiteMatter;0.6212030166633856;8.0
118932-PP;Amygdala;0.0;inf
118932-PP;GreyMatter;0.0;inf
118932-PP;Hippocampus;0.0;inf
118932-PP;Thalamus;0.0;inf
118932-PP;WhiteMatter;0.3257301554893573;14.035668847618199
120111;Amygdala;0.05136354967897781;75.53806987208503
120111;GreyMatter;0.32140417962027634;7.874007874011811
120111;Hippocampus;0.10416687311103404;33.76388603226827
120111;Thalamus;0.18796490269302002;46.52956049652737
120111;WhiteMatter;0.6874614153784128;8.0
120111-PP;Amygdala;0.0;inf
120111-PP;GreyMatter;0.0;inf
120111-PP;Hippocampus;0.0;inf
120111-PP;Thalamus;0.0;inf
120111-PP;WhiteMatter;0.35658611165910437;15.427248620541512
122317;Amygdala;0.06982754779198788;77.54998388136518
122317;GreyMatter;0.36978949311418574;8.0
122317;Hippocampus;0.0955302853458721;32.4037034920393
122317;Thalamus;0.164877635656049;47.042533945356304
122317;WhiteMatter;0.6287409206236396;9.055385138137417
122317-PP;Amygdala;0.0;inf
122317-PP;GreyMatter;0.0;inf
122317-PP;Hippocampus;0.0;inf
122317-PP;Thalamus;0.0;inf
122317-PP;WhiteMatter;0.3385180010468849;14.696938456699069
122620;Amygdala;0.058690322459903056;77.06490770772389
122620;GreyMatter;0.3572122194802534;9.38083151964686
122620;Hippocampus;0.0896817414724784;34.66987164671943
122620;Thalamus;0.18656123946463082;44.83302354291979
122620;WhiteMatter;0.6538910960504791;9.0
122620-PP;Amygdala;0.0;inf
122620-PP;GreyMatter;0.0;inf
122620-PP;Hippocampus;0.0;inf
122620-PP;Thalamus;0.0;inf
122620-PP;WhiteMatter;0.29162914617569974;13.92838827718412
123117;Amygdala;0.06393450163285957;79.51729371652434
123117;GreyMatter;0.3657799365706509;9.0
123117;Hippocampus;0.10589766004594524;33.1058907144937
123117;Thalamus;0.19078454693625832;45.0
123117;WhiteMatter;0.6780044475936348;8.0
123117-PP;Amygdala;0.0;inf
123117-PP;GreyMatter;0.0;inf
123117-PP;Hippocampus;0.0;inf
123117-PP;Thalamus;0.0;inf
123117-PP;WhiteMatter;0.3560783504927567;12.84523257866513
123925;Amygdala;0.07003441553753219;79.42921376924235
123925;GreyMatter;0.34043826438734737;8.54400374531753
123925;Hippocampus;0.11242268536817254;31.71750305430741
123925;Thalamus;0.19386289207976742;43.93176527297759
123925;WhiteMatter;0.620515328757504;8.06225774829855
123925-PP;Amygdala;0.0;inf
123925-PP;GreyMatter;0.0;inf
123925-PP;Hippocampus;0.0;inf
123925-PP;Thalamus;0.0;inf
123925-PP;WhiteMatter;0.34476334301978223;14.142135623730951
124422;Amygdala;0.08047738085638255;77.00649323271382
124422;GreyMatter;0.3299569865405631;8.306623862918075
124422;Hippocampus;0.10592846442716136;33.25657829663178
124422;Thalamus;0.2114108729317793;43.56604182158393
124422;WhiteMatter;0.6410549121653912;7.615773105863909
124422-PP;Amygdala;0.0;inf
124422-PP;GreyMatter;0.0;inf
124422-PP;Hippocampus;0.0;inf
124422-PP;Thalamus;0.0;inf
124422-PP;WhiteMatter;0.3020020131003702;11.704699910719626
