SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.06588820504173341;77.6659513557904
117122;GreyMatter;0.3641976522835706;7.54983443527075
117122;Hippocampus;0.12217573221757322;33.66006535941367
117122;Thalamus;0.18116201509566437;49.20365840057018
117122;WhiteMatter;0.6402921908256387;8.06225774829855
117122-PP;Amygdala;0.0;inf
117122-PP;GreyMatter;0.0;inf
117122-PP;Hippocampus;0.0;inf
117122-PP;Thalamus;0.0;inf
117122-PP;WhiteMatter;0.3368945441450093;10.04987562112089
118528;Amygdala;0.04621652307486809;76.16429609731846
118528;GreyMatter;0.3257658061663112;7.483314773547883
118528;Hippocampus;0.09457045660583975;33.61547262794322
118528;Thalamus;0.16955079141833665;48.394214530251446
118528;WhiteMatter;0.6816697637866935;8.0
118528-PP;Amygdala;0.0;inf
118528-PP;GreyMatter;0.0;inf
118528-PP;Hippocampus;0.0;inf
118528-PP;Thalamus;0.0;inf
118528-PP;WhiteMatter;0.3078576953977102;16.30950643030009
118730;Amygdala;0.05161843135516849;76.81796664843453
118730;GreyMatter;0.33806984598802314;7.0710678118654755
118730;Hippocampus;0.08945699183085055;36.069377593742864
118730;Thalamus;0.20731081844655974;46.42197755374064
118730;WhiteMatter;0.679969135158808;8.246211251235321
118730-PP;Amygdala;0.0;inf
118730-PP;GreyMatter;0.0;inf
118730-PP;Hippocampus;0.0;inf
118730-PP;Thalamus;0.0;inf
118730-PP;WhiteMatter;0.28731586013444;14.45683229480096
118932;Amygdala;0.06504574753629436;77.82673062643708
118932;GreyMatter;0.3928778433056662;7.874007874011811
118932;Hippocampus;0.10728472324389167;34.36568055487916
118932;Thalamus;0.18592929349974585;48.68264577855234
118932;WhiteMatter;0.6334547830132894;8.0
118932-PP;Amygdala;0.0;inf
118932-PP;GreyMatter;0.0;inf
118932-PP;Hippocampus;0.0;inf
118932-PP;Thalamus;0.0;inf
118932-PP;WhiteMatter;0.32740518810004166;13.74772708486752
120111;Amygdala;0.05359291261074046;75.8485332752058
120111;GreyMatter;0.322943888202122;7.874007874011811
120111;Hippocampus;0.10977683427859278;33.37663853655727
120111;Thalamus;0.18788408195791764;48.507731342539614
120111;WhiteMatter;0.6968650835906719;8.0
120111-PP;Amygdala;0.0;inf
120111-PP;GreyMatter;0.0;inf
120111-PP;Hippocampus;0.0;inf
120111-PP;Thalamus;0.0;inf
120111-PP;WhiteMatter;0.35876765891222046;15.132745950421556
122317;Amygdala;0.06615815390557112;77.52418977325722
122317;GreyMatter;0.37328667660232606;7.14142842854285
122317;Hippocampus;0.09993909009979852;32.264531609803356
122317;Thalamus;0.16379198988367588;48.88762624632127
122317;WhiteMatter;0.6396387577561299;9.0
122317-PP;Amygdala;0.0;inf
122317-PP;GreyMatter;0.0;inf
122317-PP;Hippocampus;0.0;inf
122317-PP;Thalamus;0.0;inf
122317-PP;WhiteMatter;0.34122700660612515;14.866068747318506
122620;Amygdala;0.05627500612394872;77.10382610480494
122620;GreyMatter;0.35990448683119336;9.16515138991168
122620;Hippocampus;0.09121969738055209;34.132096331752024
122620;Thalamus;0.1836027713625866;46.314144707637645
122620;WhiteMatter;0.6646094503375121;8.602325267042627
122620-PP;Amygdala;0.0;inf
122620-PP;GreyMatter;0.0;inf
122620-PP;Hippocampus;0.0;inf
122620-PP;Thalamus;0.0;inf
122620-PP;WhiteMatter;0.29422307018641314;13.601470508735444
123117;Amygdala;0.060139666462244556;79.61155694998057
123117;GreyMatter;0.3648491204121492;9.0
123117;Hippocampus;0.10997286077470152;32.54228019054596
123117;Thalamus;0.19233422307530815;46.184412955021955
123117;WhiteMatter;0.6899402056924181;8.0
123117-PP;Amygdala;0.0;inf
123117-PP;GreyMatter;0.0;inf
123117-PP;Hippocampus;0.0;inf
123117-PP;Thalamus;0.0;inf
123117-PP;WhiteMatter;0.3573990222439747;12.68857754044952
123925;Amygdala;0.06910686928077513;79.41032678436729
123925;GreyMatter;0.3432358629855456;8.12403840463596
123925;Hippocampus;0.11867924739989454;31.32091952673165
123925;Thalamus;0.19546029495572884;45.4972526643093
123925;WhiteMatter;0.6316948242389194;8.0
123925-PP;Amygdala;0.0;inf
123925-PP;GreyMatter;0.0;inf
123925-PP;Hippocampus;0.0;inf
123925-PP;Thalamus;0.0;inf
123925-PP;WhiteMatter;0.34728137643733215;13.601470508735444
124422;Amygdala;0.07427621796553835;77.05193054038295
124422;GreyMatter;0.3332611771874336;8.06225774829855
124422;Hippocampus;0.10990018000327278;32.984845004941285
124422;Thalamus;0.2103333944250987;44.955533585978046
124422;WhiteMatter;0.6552992143829363;8.0
124422-PP;Amygdala;0.0;inf
124422-PP;GreyMatter;0.0;inf
124422-PP;Hippocampus;0.0;inf
124422-PP;Thalamus;0.0;inf
124422-PP;WhiteMatter;0.3054685257623462;11.445523142259598
