SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.06586687469691539;77.68526243760782
117122;GreyMatter;0.3645633686685058;7.3484692283495345
117122;Hippocampus;0.12015288226614093;33.77869150810907
117122;Thalamus;0.18223334155537546;44.50842616853577
117122;WhiteMatter;0.6361514728134153;9.0
117122-PP;Amygdala;0.0;inf
117122-PP;GreyMatter;0.0;inf
117122-PP;Hippocampus;0.0;inf
117122-PP;Thalamus;0.0;inf
117122-PP;WhiteMatter;0.3364363964800798;10.04987562112089
118528;Amygdala;0.04637137304831468;76.16429609731846
118528;GreyMatter;0.32425626413403624;7.54983443527075
118528;Hippocampus;0.0938002438205622;33.67491648096547
118528;Thalamus;0.17124504472355181;45.92385001282014
118528;WhiteMatter;0.6778677823818124;9.0
118528-PP;Amygdala;0.0;inf
118528-PP;GreyMatter;0.0;inf
118528-PP;Hippocampus;0.0;inf
118528-PP;Thalamus;0.0;inf
118528-PP;WhiteMatter;0.30590572878180905;16.97056274847714
118730;Amygdala;0.0517775373808924;76.8505042273634
118730;GreyMatter;0.3359330771331331;7.14142842854285
118730;Hippocampus;0.0894220695253287;36.069377593742864
118730;Thalamus;0.20820587269490676;45.803929962395145
118730;WhiteMatter;0.6761536538299497;9.0
118730-PP;Amygdala;0.0;inf
118730-PP;GreyMatter;0.0;inf
118730-PP;Hippocampus;0.0;inf
118730-PP;Thalamus;0.0;inf
118730-PP;WhiteMatter;0.28539889133347013;14.89966442575134
118932;Amygdala;0.06517295597484277;77.88452991448301
118932;GreyMatter;0.39189717038574506;7.874007874011811
118932;Hippocampus;0.10563036039639159;34.46737587922817
118932;Thalamus;0.18728379198847833;45.9782557302906
118932;WhiteMatter;0.6275486501294767;8.18535277187245
118932-PP;Amygdala;0.0;inf
118932-PP;GreyMatter;0.0;inf
118932-PP;Hippocampus;0.0;inf
118932-PP;Thalamus;0.0;inf
118932-PP;WhiteMatter;0.3261935366898507;13.96424004376894
120111;Amygdala;0.05364614738073051;75.85512507405153
120111;GreyMatter;0.32171718581184794;7.810249675906654
120111;Hippocampus;0.10811428334043018;33.481338085566414
120111;Thalamus;0.1885767344777574;46.42197755374064
120111;WhiteMatter;0.6932480965226389;8.0
120111-PP;Amygdala;0.0;inf
120111-PP;GreyMatter;0.0;inf
120111-PP;Hippocampus;0.0;inf
120111-PP;Thalamus;0.0;inf
120111-PP;WhiteMatter;0.35720401346384817;15.620499351813308
122317;Amygdala;0.06636576719679213;77.54998388136518
122317;GreyMatter;0.3702287208839907;7.0710678118654755
122317;Hippocampus;0.09828655766436824;32.38826948140329
122317;Thalamus;0.1661463282204425;47.0
122317;WhiteMatter;0.6348392146521802;9.055385138137417
122317-PP;Amygdala;0.0;inf
122317-PP;GreyMatter;0.0;inf
122317-PP;Hippocampus;0.0;inf
122317-PP;Thalamus;0.0;inf
122317-PP;WhiteMatter;0.3395151807940846;15.066519173319364
122620;Amygdala;0.05641411826337502;77.10382610480494
122620;GreyMatter;0.3579103312314761;9.219544457292887
122620;Hippocampus;0.09053197550206524;34.14674215792775
122620;Thalamus;0.1858876901438223;44.69899327725402
122620;WhiteMatter;0.6602704716723693;9.0
122620-PP;Amygdala;0.0;inf
122620-PP;GreyMatter;0.0;inf
122620-PP;Hippocampus;0.0;inf
122620-PP;Thalamus;0.0;inf
122620-PP;WhiteMatter;0.2923697275291156;13.892443989449804
123117;Amygdala;0.06033302240657312;79.62411694957753
123117;GreyMatter;0.3638814096661972;9.0
123117;Hippocampus;0.108677436120451;32.66496594212215
123117;Thalamus;0.19199511788521076;44.844174649557324
123117;WhiteMatter;0.6858480382880335;8.0
123117-PP;Amygdala;0.0;inf
123117-PP;GreyMatter;0.0;inf
123117-PP;Hippocampus;0.0;inf
123117-PP;Thalamus;0.0;inf
123117-PP;WhiteMatter;0.3562479058956456;12.806248474865697
123925;Amygdala;0.06921766587726952;79.42921376924235
123925;GreyMatter;0.34010654373271515;8.246211251235321
123925;Hippocampus;0.11732493820044118;31.448370387032774
123925;Thalamus;0.19577914921754463;43.749285708454714
123925;WhiteMatter;0.627724674230712;8.48528137423857
123925-PP;Amygdala;0.0;inf
123925-PP;GreyMatter;0.0;inf
123925-PP;Hippocampus;0.0;inf
123925-PP;Thalamus;0.0;inf
123925-PP;WhiteMatter;0.345514333921227;14.142135623730951
124422;Amygdala;0.07450822117325004;77.05841939723393
124422;GreyMatter;0.32920452729191424;8.12403840463596
124422;Hippocampus;0.10883040559380563;33.04542328371661
124422;Thalamus;0.2124080958281702;43.46262762420146
124422;WhiteMatter;0.6509255977819008;8.54400374531753
124422-PP;Amygdala;0.0;inf
124422-PP;GreyMatter;0.0;inf
124422-PP;Hippocampus;0.0;inf
124422-PP;Thalamus;0.0;inf
124422-PP;WhiteMatter;0.3028643779476745;11.704699910719626
