SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.06798891579934979;77.59510293826537
117122;GreyMatter;0.35846644539508205;7.615773105863909
117122;Hippocampus;0.12340345839315812;33.67491648096547
117122;Thalamus;0.18551547282890565;44.45222154178574
117122;WhiteMatter;0.6328103845579987;8.0
117122-PP;Amygdala;0.06894289026444148;77.3950902835574
117122-PP;GreyMatter;0.3585359077796404;5.385164807134504
117122-PP;Hippocampus;0.12277324832955312;33.77869150810907
117122-PP;Thalamus;0.19082328341505794;43.93176527297759
117122-PP;WhiteMatter;0.6331655514976048;8.06225774829855
118528;Amygdala;0.04693593787092617;76.19055059520177
118528;GreyMatter;0.326248925995988;7.3484692283495345
118528;Hippocampus;0.0949467847240855;33.61547262794322
118528;Thalamus;0.17601285363241131;45.880278987817846
118528;WhiteMatter;0.6729925668058027;8.0
118528-PP;Amygdala;0.04693365654933253;75.8617163001207
118528-PP;GreyMatter;0.3222926199181207;7.280109889280518
118528-PP;Hippocampus;0.09316710326882136;33.12099032335839
118528-PP;Thalamus;0.18275803213667433;43.669211121796096
118528-PP;WhiteMatter;0.6859738394397147;8.06225774829855
118730;Amygdala;0.052390877329774634;76.97402159170326
118730;GreyMatter;0.33891965617626435;7.0710678118654755
118730;Hippocampus;0.0904791477571299;36.069377593742864
118730;Thalamus;0.212457622652778;45.78209256903839
118730;WhiteMatter;0.6714651977285865;8.246211251235321
118730-PP;Amygdala;0.05201692188524102;76.40026177965623
118730-PP;GreyMatter;0.3336340796011709;7.14142842854285
118730-PP;Hippocampus;0.08916644654918682;36.138621999185304
118730-PP;Thalamus;0.2209067987311686;44.04543109109048
118730-PP;WhiteMatter;0.6857226761895923;9.0
118932;Amygdala;0.0659310015138236;77.88452991448301
118932;GreyMatter;0.3944073105488024;7.874007874011811
118932;Hippocampus;0.10676564872616838;34.45286635390443
118932;Thalamus;0.1913832788564914;45.89117562233506
118932;WhiteMatter;0.6232035868010172;8.0
118932-PP;Amygdala;0.06559444970040997;77.1621668954417
118932-PP;GreyMatter;0.3944039537737759;6.708203932499369
118932-PP;Hippocampus;0.10614284293025877;35.0
118932-PP;Thalamus;0.1986885781543557;43.977266854592045
118932-PP;WhiteMatter;0.6292581635014409;8.0
120111;Amygdala;0.054264855373810185;75.87489703452651
120111;GreyMatter;0.32415347891433116;7.810249675906654
120111;Hippocampus;0.10925243360740951;33.481338085566414
120111;Thalamus;0.1912920576341722;46.400431032480725
120111;WhiteMatter;0.6891083961528464;8.0
120111-PP;Amygdala;0.0544847557039305;75.16648189186454
120111-PP;GreyMatter;0.320868349414793;7.280109889280518
120111-PP;Hippocampus;0.10934670856833649;33.37663853655727
120111-PP;Thalamus;0.19733462173370375;44.74371464239419
120111-PP;WhiteMatter;0.6970521978632429;8.0
122317;Amygdala;0.06716915950221804;77.64663547121665
122317;GreyMatter;0.372925818026752;7.0710678118654755
122317;Hippocampus;0.0989789733787123;32.37282811247729
122317;Thalamus;0.17024584588475367;46.92547282660026
122317;WhiteMatter;0.6308481869805364;9.0
122317-PP;Amygdala;0.06696385120009343;77.0
122317-PP;GreyMatter;0.37265662267451105;7.483314773547883
122317-PP;Hippocampus;0.09986056855763359;32.55764119219941
122317-PP;Thalamus;0.1757609091623392;44.64302857109943
122317-PP;WhiteMatter;0.6366406168594353;9.0
122620;Amygdala;0.057082277327767564;77.110310594628
122620;GreyMatter;0.36020826631997427;9.219544457292887
122620;Hippocampus;0.09168801183303871;34.132096331752024
122620;Thalamus;0.19125443522707536;44.384682042344295
122620;WhiteMatter;0.6558790905847631;8.306623862918075
122620-PP;Amygdala;0.05671823367912276;76.66159403508382
122620-PP;GreyMatter;0.3552065073315666;9.219544457292887
122620-PP;Hippocampus;0.08978341796548417;33.76388603226827
122620-PP;Thalamus;0.2000517330574237;42.34383071948026
122620-PP;WhiteMatter;0.665462347948188;9.0
123117;Amygdala;0.06136556575170797;79.64923100695951
123117;GreyMatter;0.36723044525032134;8.94427190999916
123117;Hippocampus;0.11026509350531696;32.64965543462902
123117;Thalamus;0.19466818786841605;44.76605857119878
123117;WhiteMatter;0.6807022157383898;8.0
123117-PP;Amygdala;0.061707094286004266;79.42921376924235
123117-PP;GreyMatter;0.36649307944263354;7.211102550927978
123117-PP;Hippocampus;0.11093770043186385;32.61901286060018
123117-PP;Thalamus;0.20159472776163018;44.0
123117-PP;WhiteMatter;0.6869241880894592;8.0
123925;Amygdala;0.07027756686071036;79.46068210127572
123925;GreyMatter;0.3435032814401037;8.12403840463596
123925;Hippocampus;0.1186964982733214;31.448370387032774
123925;Thalamus;0.20027154987442577;43.78355855797927
123925;WhiteMatter;0.6227818317351332;8.0
123925-PP;Amygdala;0.07126202891178092;79.15175298121956
123925-PP;GreyMatter;0.3461480370804102;7.874007874011811
123925-PP;Hippocampus;0.11789590254706533;31.464265445104548
123925-PP;Thalamus;0.20562991503371336;42.16633728461603
123925-PP;WhiteMatter;0.6272232792116339;8.0
124422;Amygdala;0.07608500878041788;77.08436936240706
124422;GreyMatter;0.3324655035136565;8.06225774829855
124422;Hippocampus;0.1106792724731981;33.015148038438355
124422;Thalamus;0.21725159200932972;43.3589667773576
124422;WhiteMatter;0.6462819345709073;8.0
124422-PP;Amygdala;0.07631729667812143;76.94153624668537
124422-PP;GreyMatter;0.3294632897557612;7.54983443527075
124422-PP;Hippocampus;0.1086557349047741;33.04542328371661
124422-PP;Thalamus;0.22434907182863997;42.36744032862972
124422-PP;WhiteMatter;0.6518178051685742;8.06225774829855
